id,layer_1,layer_2,layer_3,layer_4
0,165.7742435218416,164.22735815129244,207.42747959952592,222.9956335322703
1,158.0710466615804,164.85315047623047,199.82604811294527,143.40835762106298
2,199.02312659519424,213.9845169230317,211.8665792197822,115.72991571461333
3,128.31926320385682,168.47147987523343,191.34396729019363,177.53606435371853
4,260.3778497508565,218.7848574805341,262.2649075361545,258.1252475347641
5,210.86553556543106,201.49148181390032,179.14388653362184,120.13598626808697
6,136.11253689789586,144.38253695538285,78.8953396663593,131.9376090964219
7,224.33467051774252,223.7928934714769,229.11546875036058,264.785870663964
8,160.46387589618467,161.66929387305854,124.17771892170033,20.416595074341743
9,165.11253847738206,230.4539877241248,238.46889018050376,146.40210783805867
10,119.18490134954905,126.50209375546935,122.9424139621992,142.7700404505504
11,138.15900253103501,143.00965320665065,117.25058809539343,192.68778100003732
12,193.2750268516016,171.10201641042232,162.52982373647453,197.09990658932404
13,70.66193540577007,166.35243516036826,153.32135511897545,194.78632416428198
14,128.33036934565916,165.1508937078576,176.8754307659064,194.75653379260234
15,202.03274470264344,230.65372629202977,280.06806661324526,150.46341068957554
16,172.77559015488384,140.5281744790627,154.75744774153003,192.67758554354745
17,109.61875662511642,97.21280946445403,109.53039481536938,67.57159864907128
18,117.64437712917056,148.45826049728208,171.52464862909707,156.97671044106735
19,228.61094313297284,243.16921318636653,248.51659681670222,272.50333002756093
20,233.9591478530794,204.11492736929486,228.67125792872923,87.8517285695595
21,154.6984385868611,216.12865561170173,220.43139742105325,161.74439528660386
22,251.76858202299383,223.35149348205638,284.00697111160224,161.49683262386574
23,230.78101662654328,229.1084660187308,252.80100003602823,256.877245234746
24,175.62813389058329,137.66597763337876,166.25072420691555,185.34628219103507
25,191.2608683556899,163.17822420015602,149.199087928688,191.4967654437405
26,52.78056449396882,156.73207941323383,196.04010642209676,142.02843512349867
27,186.14324406684668,143.83806582863048,133.3388665047602,189.0062960194755
28,165.3820181471762,178.19860566152008,195.50312125087748,113.74131448667198
29,170.01559414989046,156.12327903906598,139.9060651175098,198.3120975358893
30,172.66281075700869,149.08975185999432,131.2712775063897,236.60092830374563
31,80.98993238385218,109.7307451519985,103.28304279756061,145.51585740786578
32,105.02995088869613,134.2246602417599,251.9914638524957,105.47782365312753
33,88.76862278714373,83.0262254894978,98.1780192451208,136.8057436975869
34,176.5466786751542,170.11704153893703,148.58890591274272,60.85658209774734
35,112.28431507734743,141.23295948957184,155.7219010196938,106.73317046759516
36,152.5519690792686,121.55884424628398,175.7204410255485,200.4118206327015
37,208.4624203421659,197.07538000975086,233.28292066670681,99.44731712551388
38,105.3937969097047,153.99541168611816,161.56404604504573,192.77999759739623
39,154.6339125188737,135.67358394868785,102.86689462563942,93.67217372821263
40,163.84077723123573,158.83052714531783,172.194041456855,147.1234762140309
41,152.9177341305924,146.6552852643042,149.2288177424346,161.6660078707882
42,159.17495023560073,121.80573481229884,211.16240346464556,180.06433019646167
43,112.96847199193552,142.6172223974597,140.87903269234175,126.82647614847647
44,132.4091768643044,145.68162196671412,119.03647304665226,189.9023359854119
45,190.39798792343754,165.4239272239098,154.29745435440645,172.196003137152
46,106.64350129126758,102.02192657964626,78.06792349109895,199.37403166791825
47,129.42431327281,145.8804082535038,95.43995993601732,187.88240714294483
48,182.51761350879687,163.21730566980193,157.02400467028093,178.81573576425808
49,152.16686723393178,102.88908398964163,144.8177272368602,188.73353886700764
50,77.58082869879601,105.8803153081777,78.04719176222642,122.18584276810131
51,174.90114558524152,189.90596813993866,153.10475930194897,251.150205685912
52,180.650271105965,161.25556541946412,135.08907905589518,206.96065724638936
53,248.8108490094059,184.4601870912162,234.43065394965072,54.954362155107404
54,215.12890102611317,155.49271846170922,207.79907869505845,170.93015555847626
55,153.28695458691092,168.85234274458975,117.83336766581151,82.7828169473807
56,145.4876993686767,142.9254337136425,118.83299372604213,207.80434514903712
57,63.4062992082315,175.91074153671454,171.08526382278257,171.52727822101647
58,145.71448784708912,101.7687479951269,98.58969020008512,208.47496867170892
59,154.93864042734475,122.30879323862844,73.44316938458024,158.07850746222013
60,159.16806244214908,151.64033353744242,198.65307965276028,145.29094419610647
61,166.34055942360547,153.2596123401428,156.169694048841,251.69256465463644
62,80.36274589203447,103.58890410831344,82.28117986516233,161.39293360201648
63,221.69972552245812,201.80109301460658,220.32638903078416,162.5094406095742
64,272.9264320688129,196.17657518532016,205.2033744990341,185.43381485832705
65,233.5047424891242,181.93587556636302,166.66797400917818,136.22945729329894
66,72.64837334271114,87.46792477352741,47.87844582507883,165.72934714918662
67,203.13864722278797,176.73127868017963,213.14299525009608,195.5578769454235
68,70.20047863153845,149.19544726519135,100.46176991630792,224.8956010821446
69,168.22572031780888,162.6615893543925,150.8703963916484,158.47409034246772
70,177.8200820453913,156.40228158417878,99.38043835316206,43.95111288293306
71,101.72415067122404,136.66446995755393,74.2733885628772,200.59846436154655
72,128.74945741198607,166.05153351510947,206.83405172621053,188.7439853249402
